source_id,ra,dec,r_est
4689544567094557440,5.575177934853086,-72.50289066194308,2497.26526856822
4689541955754300672,4.999975989191522,-72.6460564762587,2181.8679791974
4689541234199794816,5.225170867736345,-72.64210345208802,2503.65124304695
4689544017338680832,5.331234760825244,-72.55608073835158,1994.82227290909
4689544498377649920,5.5802695904729145,-72.51546902887999,2083.60379857297
4689526768752563840,5.516676115785509,-72.72985983888158,2118.62704576088
4689526910483436160,5.628025911760614,-72.69531333710353,1958.7424221037
4689540478289493888,4.9980291686020495,-72.69885760712731,1534.22180511145
4689528074422617600,5.191423174033891,-72.7283143432279,2229.68563388387
4689544262163046272,5.644769503595668,-72.53112664862661,3938.59612370688
4689544464017907328,5.515783822477516,-72.52061096423432,1981.48693194513
4689544055992951168,5.385747028621371,-72.54414919307654,1608.43499086241
4689530342162701184,5.295993543238313,-72.69152582073275,3644.79551720712
4689542750323155456,5.304284218496052,-72.61942173374523,1476.72986386927
4689541440358213504,4.877640370575274,-72.6663227176663,2286.08960749827
4689530243389785088,5.695707362224415,-72.6402908776297,3622.06303909258
4689529178226261760,5.173718271778315,-72.67830053167911,1472.84821328749
4689540890602391552,5.11267840705317,-72.67819550597558,2732.41132000007
4689541474717948160,4.9333620016986846,-72.67226355355187,2283.04021991177
4689542161912741504,4.990313182813753,-72.63225876343758,2077.50157616565
4689543055265961216,5.487628469780649,-72.59360505139122,2616.14445002178
4689540169053107328,4.660756497529285,-72.59286960571514,2802.37385695889
4689528113086123904,5.200444518182606,-72.73343358098595,1390.3151682156
4689540001543851136,4.574640152476356,-72.62327824942327,2048.13083620602
4689543570662043520,5.334406861123643,-72.59098770986392,3200.96289766488
4689542436793975040,5.246661650603499,-72.65200867490452,1547.4494474944
4689542608589344768,5.454585657925891,-72.61675495790966,2239.9665658029
4689544841972352256,4.926036465474714,-72.61263885062715,2596.02665930294
4689542711668547968,5.240482422384639,-72.63511240186847,2904.93361272564
4689530513964068736,5.463459428858454,-72.66602999966574,2187.71734297364
4689542574232251648,5.40053525291596,-72.62455399283115,1608.5190653477
4689531171091017216,5.475866904720248,-72.6379822460897,2173.57042513795
4689529758047151744,5.451191975854773,-72.68220692558621,2523.69034528543
4689529277010786944,5.347178172289778,-72.74062141810099,2873.32545690306
4689542608589339008,5.4066413017758,-72.62341317229273,2273.22385753286
4689543231370896128,5.655608358208161,-72.5590872905863,4342.84343132171
4689544090352636544,5.453866562569675,-72.56661669131107,2429.8526881496
4689540100333792384,4.631656773161571,-72.6095065806961,1996.44403378943
4689526326368134144,5.378414028659211,-72.74090456807164,1417.84578347373
4689575323366942336,6.452890292001464,-72.23575328715532,2911.91491183164
4689574700606123392,6.145952156108504,-72.27870283820506,2808.77892696758
4689568515833344512,6.09663058951146,-72.41925167476577,2666.82111288968
4689580133730317184,6.586889101612348,-72.25357347971458,4402.80304349564
4689573223116574336,6.098043714559816,-72.38285240626836,2388.15089135887
4689564530104668416,7.10592827125136,-72.35156401878803,2015.6124843317
4689574911050146560,6.349543607171039,-72.28266012198662,3602.88891914438
4689580786565264640,6.854940503026257,-72.195448896673,3125.68064887715
4689573085715052928,5.998145448953778,-72.3212229151348,2405.21063600653
4689572054885533824,6.011276692108302,-72.35878511203327,2940.07441103408
4689578037786210816,7.109701127403053,-72.24149167884703,3086.48560794417
4689563396233227904,6.627575249795776,-72.40615107284108,1953.48013924585
4689574876690408576,6.344657306067154,-72.28237265597956,2843.44806015683
4689567489346812288,5.996026614950201,-72.47516616868035,1976.69185623474
4689572059191969408,6.003447791205176,-72.36755369760016,3914.88385441325
4689571956112885760,5.957697108695911,-72.37495488762119,2946.81531892508
4689574842319309824,6.253018385184942,-72.25852490908913,2755.64626333478
4689580133718952320,6.586016353010836,-72.25210896738173,2307.168481115
4689576899608842368,6.60633820330876,-72.28211252954738,2640.78845649772
4689565457817694336,7.372108028276238,-72.27357617264194,1747.71603487789
4689577556749876224,6.887645556938655,-72.22144081236794,3133.06993169969
4689547281516459264,5.393025755862837,-72.50517359717752,1827.04510593671
4689567004003694592,5.779059262549753,-72.51022458811312,2557.9759900426
4689564225171514240,6.8128390539258135,-72.33423464918293,3349.0211481314
4689569619650503040,6.552342235095057,-72.37246370501435,1900.34359179999
4689570749215474944,6.349232974664491,-72.34977523243263,3391.66661211889
