source_id,ra,dec,phot_g_mean_mag,bp_rp,pmra,pmdec
4689544567094557440,5.575177934853086,-72.50289066194308,18.642883,0.96552277,4.950252851421656,-1.9959657374728412
4689541955754300672,4.999975989191522,-72.6460564762587,19.119717,1.2598248,0.7157693520929598,-1.6979766397593787
4689541234199794816,5.225170867736345,-72.64210345208802,18.516747,1.0460415,10.72479990099857,-2.1395486988563808
4689544017338680832,5.331234760825244,-72.55608073835158,19.336916,1.0189075,-0.3427723746294646,-1.5845478723450728
4689544498377649920,5.5802695904729145,-72.51546902887999,19.275023,1.1420593,0.0229353831903557,-1.1849344440659864
4689526768752563840,5.516676115785509,-72.72985983888158,19.280993,1.074173,2.021303711629752,-1.6907273444224085
4689526910483436160,5.628025911760614,-72.69531333710353,19.636694,1.1215897,0.7194831345218354,-0.2078650304899906
4689540478289493888,4.9980291686020495,-72.69885760712731,20.428955,1.2769489,1.3531377731722032,3.643031077325837
4689528074422617600,5.191423174033891,-72.7283143432279,19.172998,1.0574646,0.8981699559879932,-2.184076806941809
4689544262163046272,5.644769503595668,-72.53112664862661,15.588716,1.0857573,5.330066548314607,-2.4585772490889943
4689544464017907328,5.515783822477516,-72.52061096423432,19.491524,1.136385,5.705436024749449,-2.18521388066497
4689544055992951168,5.385747028621371,-72.54414919307654,20.143652,1.9620914,9.496945028029264,-8.955037897066646
4689530342162701184,5.295993543238313,-72.69152582073275,17.106422,0.8041191,8.682146418193849,-5.0326251759996135
4689542750323155456,5.304284218496052,-72.61942173374523,20.60205,0.9359932,-0.0315025418217219,-0.9446191584125144
4689541440358213504,4.877640370575274,-72.6663227176663,19.03985,1.0969086,1.1823446074956234,-0.5629817962492637
4689530243389785088,5.695707362224415,-72.6402908776297,17.096436,0.82361984,5.162181808977029,-2.9254718655908007
4689529178226261760,5.173718271778315,-72.67830053167911,20.635761,1.0199833,4.123725195810771,-2.4927872462142595
4689540890602391552,5.11267840705317,-72.67819550597558,18.434835,1.1719551,0.2602647958651471,-1.462108438857844
4689541474717948160,4.9333620016986846,-72.67226355355187,19.020815,0.9878044,0.5555292940515595,-7.848780662529323
4689542161912741504,4.990313182813753,-72.63225876343758,19.285059,0.98300934,0.3650157298609287,-1.1077003800129064
4689543055265961216,5.487628469780649,-72.59360505139122,18.380135,0.7736683,5.134045914346794,-1.9164076457138937
4689540169053107328,4.660756497529285,-72.59286960571514,18.220736,0.9789276,0.2831352976767723,-1.1825493475733144
4689528113086123904,5.200444518182606,-72.73343358098595,20.838787,0.5835991,-0.4762144839312143,-2.079974061011864
4689540001543851136,4.574640152476356,-72.62327824942327,19.261307,1.023838,1.4653269807796971,-1.3074399815854276
4689543570662043520,5.334406861123643,-72.59098770986392,17.692734,1.3575554,0.3854250853404653,-1.3179777248355196
4689542436793975040,5.246661650603499,-72.65200867490452,20.479666,0.9276886,-0.0869232614611468,-0.167373655536273
4689542608589344768,5.454585657925891,-72.61675495790966,19.139503,0.9840431,1.0300797392674357,-1.1149577068313112
